Accession,Release_Date,Species,Genus,Family,Length,Authors,Publications,Protein,Geo_Location,Host,Isolation_Source
QHR63249,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,orf1ab polyprotein,China,Homo sapiens,lung
BBZ90167,2020-02-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,60,"Nicolasora,A.D., Mercado,E.S., Polotan,F.M., Manalo,J.G., Medado,I.P., Tujan,M.A., Onza,O.T., Cruz,K.M.",,orf1ab polyprotein,Philippines,Homo sapiens,
QHZ00363,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,ORF7a protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00364,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,ORF8 protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00365,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,structural protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00366,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,ORF10 proteiin,China,Homo sapiens,"lung, oronasopharynx"
QHZ00359,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,ORF3a protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00361,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,structural protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00357,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,orf1ab polyprotein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00358,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,surface glycoprotein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00360,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,structural protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00362,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,ORF6 protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ00383,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,ORF6 protein,South Korea,Homo sapiens,
QHZ00384,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,ORF7a protein,South Korea,Homo sapiens,
QHZ00380,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,ORF3a protein,South Korea,Homo sapiens,
QHZ00379,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,surface glycoprotein,South Korea,Homo sapiens,
QHZ00378,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,orf1ab polyprotein,South Korea,Homo sapiens,
QHZ00381,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,envelope protein,South Korea,Homo sapiens,
QHZ00386,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,nucleocapsid phosphoprotein,South Korea,Homo sapiens,
QHZ00387,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,ORF10 protein,South Korea,Homo sapiens,
QHZ00385,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,ORF8 protein,South Korea,Homo sapiens,
QHZ00382,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S., Oh,M.-D.",,membrane glycoprotein,South Korea,Homo sapiens,
QHZ00394,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHZ00395,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHZ00396,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHZ00397,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHZ00389,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHZ00390,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHZ00391,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHZ00392,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHZ00393,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHZ00388,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7095,"Zhang,J., Uehara,A., Queen,K., Li,Y., Tao,Y., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHZ00405,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHZ00404,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHZ00401,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHZ00399,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHZ00402,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHZ00407,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHZ00400,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHZ00403,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHZ00406,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHZ00398,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Paden,C.R., Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHU36829,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Li,Y., Wu,Z., Wu,C., Liu,Y.",,ORF7a protein,China,Homo sapiens,lung
QHU36845,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,ORF3a protein,China,Homo sapiens,lung
QHU36849,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,ORF7a protein,China,Homo sapiens,lung
QHU36850,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,ORF8 protein,China,Homo sapiens,lung
QHU36852,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,ORF10 protein,China,Homo sapiens,lung
QHU36847,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,membrane glycoprotein,China,Homo sapiens,lung
QHU36844,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,surface glycoprotein,China,Homo sapiens,lung
QHU36848,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,ORF6 protein,China,Homo sapiens,lung
QHU36846,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,envelope protein,China,Homo sapiens,lung
QHU36851,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,nucleocapsid phosphoprotein,China,Homo sapiens,lung
QHU36843,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B.",,orf1ab polyprotein,China,Homo sapiens,lung
QHQ82467,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,feces
QHQ82472,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,feces
QHQ82469,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,feces
QHQ82466,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,feces
QHQ82465,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,feces
QHN73820,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,95,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,ORF1ab polyprotein,China,Homo sapiens,oronasopharynx
QHN73819,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,95,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,ORF1ab polyprotein,China,Homo sapiens,oronasopharynx
QHN73821,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,95,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,ORF1ab polyprotein,China,Homo sapiens,"lung, oronasopharynx"
QHN69982,2020-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,96,"Buathong,R., Wacharapluesadee,S., Lamsirithawon,S., Chaifoo,W., Ponpinit,T., Joyjinda,Y., Ruchisrisarod,C., Rodpan,A., Sirivichatakul,S., Vachiraphan,A., Plipat,T., Hemachudha,T.",,orf1ab polyprotein,Thailand,Homo sapiens,"lung, oronasopharynx"
QHN73824,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,surface glycoprotein,China,Homo sapiens,"lung, oronasopharynx"
QHN73806,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,surface glycoprotein,China,Homo sapiens,blood
QHN73808,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,surface glycoprotein,China,Homo sapiens,oronasopharynx
QHN73807,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,surface glycoprotein,China,Homo sapiens,oronasopharynx
QHN73805,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,surface glycoprotein,China,Homo sapiens,oronasopharynx
QHN73822,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,surface glycoprotein,China,Homo sapiens,oronasopharynx
QHN73823,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,surface glycoprotein,China,Homo sapiens,oronasopharynx
QHO62110,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,nucleocapsid protein,China,Homo sapiens,
QHO62109,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,matrix protein,China,Homo sapiens,
